city,province,country,latitude,longitude,postal_prefix,search_key,region_code,is_capital,is_major_market,population_hint,timezone
100 Mile House,British Columbia,CA,,,,100milehouse,BC,false,false,,America/Vancouver
108 Mile House,British Columbia,CA,,,,108milehouse,BC,false,false,,America/Vancouver
108 Mile Ranch,British Columbia,CA,,,,108mileranch,BC,false,false,,America/Vancouver
150 Mile House,British Columbia,CA,,,,150milehouse,BC,false,false,,America/Vancouver
Abbey,Saskatchewan,CA,,,,abbey,SK,false,false,,America/Regina
Abbotsford,British Columbia,CA,,,,abbotsford,BC,false,true,,America/Vancouver
Aberarder,Ontario,CA,,,,aberarder,ON,false,false,,America/Toronto
Abercorn,Quebec,CA,,,,abercorn,QC,false,false,,America/Montreal
Aberdeen,Saskatchewan,CA,,,,aberdeen,SK,false,false,,America/Regina
Abernethy,Saskatchewan,CA,,,,abernethy,SK,false,false,,America/Regina
Abitibi Canyon,Ontario,CA,,,,abitibicanyon,ON,false,false,,America/Toronto
Acadia Valley,Alberta,CA,,,,acadiavalley,AB,false,false,,America/Edmonton
Acme,Alberta,CA,,,,acme,AB,false,false,,America/Edmonton
Acton,Ontario,CA,,,,acton,ON,false,false,,America/Toronto
Acton Vale,Quebec,CA,,,,actonvale,QC,false,false,,America/Montreal
Adamsville,Quebec,CA,,,,adamsville,QC,false,false,,America/Montreal
Adolphustown,Ontario,CA,,,,adolphustown,ON,false,false,,America/Toronto
Advocate Harbour,Nova Scotia,CA,,,,advocateharbour,NS,false,false,,America/Halifax
Agassiz,British Columbia,CA,,,,agassiz,BC,false,false,,America/Vancouver
Agassiz Provincial Forest,Manitoba,CA,,,,agassizprovincialforest,MB,false,false,,America/Winnipeg
Aguanish,Quebec,CA,,,,aguanish,QC,false,false,,America/Montreal
Ahousat,British Columbia,CA,,,,ahousat,BC,false,false,,America/Vancouver
Ailsa Craig,Ontario,CA,,,,ailsacraig,ON,false,false,,America/Toronto
Airdrie,Alberta,CA,,,,airdrie,AB,false,false,,America/Edmonton
Ajax,Ontario,CA,,,,ajax,ON,false,false,,America/Toronto
